,x,y
0,621562.847619,-675175.429835
1,621568.964051,-675151.093704
2,621575.415254,-675126.800012
3,621582.322501,-675102.580977
4,621589.464827,-675078.385531
5,621596.819773,-675054.206312
6,621604.395071,-675030.046685
7,621612.198931,-675005.913476
8,621620.23991,-674981.816755
9,621628.461872,-674957.744692
10,621636.910147,-674933.724218
11,621645.610466,-674909.779472
12,621654.571033,-674885.930626
13,621663.598814,-674862.108202
14,621673.275435,-674838.598284
15,621683.231644,-674815.261271
16,621693.478769,-674792.126914
17,621704.026649,-674769.22586
18,621714.88528,-674746.582117
19,621726.07018,-674724.20402
20,621737.597808,-674702.098779
21,621749.484113,-674680.274513
22,621761.744446,-674658.740061
23,621774.39359,-674637.505024
24,621787.22904,-674616.4381
25,621800.423789,-674595.644183
26,621814.035447,-674575.162068
27,621827.991966,-674554.942212
28,621842.565421,-674535.184352
29,621857.542462,-674515.741461
30,621872.919627,-674496.612488
31,621888.693801,-674477.796203
32,621904.860493,-674459.289714
33,621921.350005,-674441.03226
34,621938.080353,-674422.943571
35,621955.191369,-674405.141904
36,621972.670309,-674387.624991
37,621990.500398,-674370.391976
38,622008.664792,-674353.440544
39,622027.14701,-674336.767734
40,622045.930956,-674320.369993
41,622065.314185,-674304.597571
42,622084.767759,-674288.879753
43,622104.472692,-674273.426065
44,622124.4145,-674258.230625
45,622144.579178,-674243.287115
46,622164.909936,-674228.531775
47,622185.398544,-674213.958684
48,622206.080171,-674199.622077
49,622226.942982,-674185.515143
50,622247.976968,-674171.632732
51,622269.172718,-674157.969774
52,622290.521274,-674144.521093
53,622312.166781,-674131.531378
54,622333.884692,-674118.653656
55,622355.727282,-674105.977456
56,622377.687162,-674093.496799
57,622399.757489,-674081.205711
58,622421.931983,-674069.098253
59,622444.204937,-674057.168553
60,622466.57123,-674045.410824
61,622489.026343,-674033.819397
62,622511.566365,-674022.388742
63,622534.188006,-674011.113491
64,622556.888611,-673999.988462
65,622579.681366,-673989.047037
66,622602.614982,-673978.421468
67,622625.702442,-673968.169012
68,622648.999886,-673958.481453
69,622672.552053,-673949.553388
70,622696.180285,-673940.908042
71,622720.067467,-673933.167411
72,622744.251722,-673926.564962
73,622768.674141,-673921.017768
74,622793.153553,-673915.931469
75,622817.697206,-673911.355981
76,622842.31099,-673907.348612
77,622866.937452,-673903.678201
78,622891.53148,-673900.111625
79,622916.031549,-673896.258527
80,622940.569671,-673892.761845
81,622965.08986,-673889.27605
82,622989.607188,-673885.833549
83,623014.134389,-673882.467241
84,623038.68195,-673879.210467
85,623063.258205,-673876.096961
86,623087.869369,-673873.160144
87,623112.51951,-673870.431266
88,623137.210922,-673867.94125
89,623161.944281,-673865.721243
90,623186.718345,-673863.795466
91,623211.529546,-673862.161974
92,623236.374021,-673860.812762
93,623261.248061,-673859.739819
94,623286.148105,-673858.935125
95,623311.070731,-673858.39065
96,623336.01265,-673858.098351
97,623360.971947,-673857.91981
98,623385.944605,-673858.082168
99,623410.927734,-673858.475412
100,623435.918452,-673859.091148
101,623460.913991,-673859.920963
102,623485.911703,-673860.956425
103,623510.909041,-673862.189086
104,623535.903566,-673863.610484
105,623560.892929,-673865.212142
106,623585.874874,-673866.985573
107,623610.847229,-673868.922283
108,623635.8079,-673871.013769
109,623660.754863,-673873.251525
110,623685.686163,-673875.627044
111,623710.599902,-673878.131818
112,623735.494239,-673880.757345
113,623760.367377,-673883.495131
114,623785.217564,-673886.336689
115,623810.043081,-673889.273547
116,623834.84224,-673892.297251
117,623859.613374,-673895.399365
118,623884.354853,-673898.57135
119,623909.066321,-673901.804426
120,623933.751148,-673905.09027
121,623958.413363,-673908.421024
122,623983.056985,-673911.788906
123,624007.686025,-673915.186129
124,624032.304481,-673918.604897
125,624056.916332,-673922.037391
126,624081.525537,-673925.475772
127,624106.136024,-673928.912165
128,624130.751689,-673932.338657
129,624155.37639,-673935.747285
130,624180.013944,-673939.130031
131,624204.668119,-673942.478814
132,624229.342631,-673945.785476
133,624254.041039,-673949.042405
134,624278.764462,-673952.257043
135,624303.511517,-673955.452369
136,624328.280697,-673958.652171
137,624353.070542,-673961.880393
138,624377.879426,-673965.162957
139,624402.705034,-673968.531648
140,624427.545152,-673972.019709
141,624452.397907,-673975.660805
142,624477.261399,-673979.489373
143,624502.130484,-673983.541842
144,624526.993518,-673987.854413
145,624551.844681,-673992.433878
146,624576.691944,-673997.204583
147,624601.545675,-674002.075024
148,624626.415886,-674006.952973
149,624651.311668,-674011.74564
150,624676.240628,-674016.359839
151,624701.208309,-674020.702157
152,624726.217628,-674024.679132
153,624751.268301,-674028.197439
154,624776.356265,-674031.164088
155,624801.47311,-674033.486638
156,624826.60494,-674035.085344
157,624851.729332,-674035.987122
158,624876.806553,-674037.074786
159,624901.859288,-674037.371247
160,624926.86534,-674037.160995
161,624951.814734,-674036.516945
162,624976.701541,-674035.473821
163,625001.522901,-674034.055691
164,625026.279315,-674032.286173
165,625050.974806,-674030.188401
166,625075.631373,-674027.911383
167,625100.238373,-674025.278939
168,625125.000998,-674023.547681
169,625149.473072,-674019.806485
170,625173.887667,-674015.701192
171,625198.231218,-674011.162698
172,625222.479664,-674006.103423
173,625246.610476,-674000.470336
174,625270.615345,-673994.278188
175,625294.488962,-673987.549663
176,625317.763452,-673978.839367
177,625341.241668,-673970.824841
178,625364.589592,-673962.398473
179,625387.808546,-673953.57916
180,625410.900497,-673944.385346
181,625433.865342,-673934.828505
182,625456.7002,-673924.913008
183,625479.40258,-673914.644698
184,625501.969915,-673904.029574
185,625524.404047,-673893.083082
186,625546.815511,-673882.037004
187,625569.091145,-673870.660157
188,625590.685112,-673857.945615
189,625612.60857,-673845.830219
190,625634.381131,-673833.399301
191,625655.99931,-673820.659366
192,625677.459558,-673807.616963
193,625698.75826,-673794.278671
194,625719.891721,-673780.651079
195,625740.856161,-673766.74077
196,625761.6477,-673752.554305
197,625782.356287,-673738.233617
198,625802.926921,-673723.703693
199,625823.313857,-673708.910139
200,625843.510259,-673693.856526
201,625863.5086,-673678.545901
202,625883.247574,-673662.912846
203,625902.776637,-673647.037118
204,625922.102689,-673630.940158
205,625941.233783,-673614.643664
206,625960.178586,-673598.168838
207,625978.947452,-673581.535105
208,625997.555029,-673564.757717
209,626016.016925,-673547.851126
210,626034.348777,-673530.829812
211,626052.566235,-673513.708245
212,626070.684944,-673496.500899
213,626088.720513,-673479.222274
214,626106.688496,-673461.886912
215,626124.604365,-673444.509417
216,626142.483488,-673427.104476
217,626160.34269,-673409.688491
218,626178.203615,-673392.282991
219,626196.088734,-673374.910574
220,626214.020232,-673357.593902
221,626232.012692,-673340.348491
222,626250.067424,-673323.177134
223,626268.184129,-673306.081591
224,626286.362291,-673289.063851
225,626304.601261,-673272.126064
226,626322.900332,-673255.270469
227,626341.258815,-673238.499322
228,626359.676117,-673221.814825
229,626378.151821,-673205.219059
230,626396.685758,-673188.713906
231,626415.278089,-673172.300985
232,626433.929379,-673155.981578
233,626452.640673,-673139.756559
234,626471.413575,-673123.626324
235,626490.25028,-673107.590674
236,626509.152151,-673091.646988
237,626528.119455,-673075.789561
238,626547.153369,-673060.011592
239,626566.256362,-673044.305424
240,626585.436518,-673028.666627
241,626604.708696,-673013.093232
242,626624.085432,-672997.585486
243,626643.574624,-672982.147793
244,626663.1821,-672966.78642
245,626682.912455,-672951.508722
246,626702.769191,-672936.323023
247,626722.754857,-672921.238497
248,626742.871187,-672906.265048
249,626763.119241,-672891.413189
250,626783.499544,-672876.69393
251,626804.012226,-672862.118658
252,626824.657164,-672847.699019
253,626845.434027,-672833.44666
254,626866.338091,-672819.36614
255,626887.358587,-672805.451738
256,626908.484634,-672791.696639
257,626929.70574,-672778.093662
258,626951.011517,-672764.634734
259,626972.387601,-672751.304179
260,626993.816745,-672738.080508
261,627015.281993,-672724.941716
262,627036.766712,-672711.865457
263,627058.254539,-672698.829096
264,627079.729325,-672685.80976
265,627101.175085,-672672.784391
266,627122.575949,-672659.729798
267,627143.916106,-672646.622715
268,627165.179756,-672633.439851
269,627186.351058,-672620.157949
270,627207.414082,-672606.753841
271,627228.352758,-672593.204501
272,627249.150834,-672579.487117
273,627269.795128,-672565.58368
274,627290.280938,-672551.487875
275,627310.605421,-672537.194793
276,627330.766193,-672522.699218
277,627350.760532,-672507.99637
278,627370.585057,-672493.082065
279,627390.23606,-672477.95241
280,627409.709534,-672462.60378
281,627429.001177,-672447.032805
282,627448.106406,-672431.236359
283,627467.020357,-672415.211556
284,627485.737897,-672398.955741
285,627504.253634,-672382.466481
286,627522.561923,-672365.74156
287,627540.656876,-672348.778975
288,627558.532375,-672331.576927
289,627576.18208,-672314.133822
290,627593.599444,-672296.448261
291,627610.77771,-672278.519028
292,627627.709321,-672260.344532
293,627644.385653,-672241.922608
294,627660.966078,-672223.399527
295,627677.3083,-672204.650255
296,627693.381631,-672185.653693
297,627709.187077,-672166.416917
298,627724.687846,-672146.915753
299,627739.920777,-672127.187281
300,627754.917166,-672107.261919
301,627769.688783,-672087.153054
302,627784.247807,-672066.873711
303,627798.606811,-672046.436559
304,627812.778752,-672025.853928
305,627826.77695,-672005.137814
306,627840.615067,-671984.299886
307,627854.355556,-671963.385816
308,627868.035089,-671942.420696
309,627881.582852,-671921.354937
310,627895.008737,-671900.198792
311,627908.319788,-671878.960792
312,627921.523202,-671857.649049
313,627934.626435,-671836.271299
314,627947.63718,-671814.83486
315,627960.563338,-671793.346598
316,627973.412791,-671771.812762
317,627986.185772,-671750.234401
318,627998.872208,-671728.606225
319,628011.461098,-671706.922596
320,628023.941224,-671685.177988
321,628036.470219,-671663.460553
322,628048.5823,-671641.513133
323,628060.546694,-671619.489609
324,628072.351594,-671597.385391
325,628083.985068,-671575.196133
326,628095.435077,-671552.917741
327,628106.690247,-671530.546772
328,628117.741474,-671508.081144
329,628128.58007,-671485.519158
330,628139.197315,-671462.859277
331,628149.584459,-671440.10013
332,628159.732714,-671417.240513
333,628169.633238,-671394.279393
334,628179.277124,-671371.215907
335,628188.655379,-671348.049362
336,628197.758954,-671324.779256
337,628206.579315,-671301.405488
338,628214.919402,-671277.863571
339,628222.999227,-671254.236546
340,628230.799132,-671230.519846
341,628238.435116,-671206.750736
342,628245.754269,-671182.882202
343,628252.747078,-671158.914718
344,628259.403998,-671134.849013
345,628265.715474,-671110.686085
346,628271.671946,-671086.427206
347,628277.263795,-671062.07393
348,628282.480711,-671037.630338
349,628287.311415,-671013.104762
350,628291.744674,-670988.506222
351,628295.769329,-670963.843991
352,628299.06073,-670939.081459
353,628302.302106,-670914.334341
354,628305.105296,-670889.551332
355,628307.459428,-670864.742574
356,628309.353726,-670839.918494
357,628310.777517,-670815.08982
358,628311.720233,-670790.26758
359,628312.171423,-670765.463119
360,628312.121008,-670740.688112
361,628311.671538,-670715.954492
362,628310.91903,-670691.266523
363,628309.675297,-670666.631245
364,628307.374125,-670642.090057
365,628305.007729,-670617.610508
366,628302.196378,-670593.212939
367,628298.96078,-670568.900608
368,628295.321664,-670544.674355
369,628291.299292,-670520.532522
370,628286.913362,-670496.470862
371,628282.182445,-670472.481121
372,628277.122402,-670448.545919
373,628271.748715,-670424.643055
374,628266.07919,-670400.756815
375,628260.132587,-670376.875253
376,628253.928085,-670352.988618
377,628247.485244,-670329.089176
378,628240.823983,-670305.171043
379,628233.964551,-670281.230008
380,628226.927496,-670257.263354
381,628219.733642,-670233.269685
382,628212.40406,-670209.248747
383,628204.956813,-670185.202457
384,628197.381734,-670161.144361
385,628189.654068,-670137.094688
386,628181.748979,-670113.074255
387,628173.64197,-670089.103426
388,628165.316685,-670065.198238
389,628156.763008,-670041.370351
390,628147.969971,-670017.62913
391,628138.925216,-669993.9812
392,628129.614669,-669970.429911
393,628120.023501,-669946.974312
394,628110.180066,-669923.593241
395,628100.169326,-669900.242525
396,628090.081576,-669876.877533
397,628080.011396,-669853.461146
398,628070.056886,-669829.960753
399,628060.318412,-669806.346853
400,628050.898122,-669782.593657
401,628041.899491,-669758.679762
402,628033.42689,-669734.588784
403,628025.584628,-669710.310105
404,628018.445685,-669685.845906
405,628012.034727,-669661.212331
406,628006.37153,-669636.427993
407,628001.475114,-669611.512963
408,627997.349831,-669586.490699
409,627993.965343,-669561.389129
410,627991.158653,-669536.247194
411,627989.522211,-669511.028867
412,627988.402263,-669485.822066
413,627987.721334,-669460.637335
414,627987.617112,-669435.473351
415,627988.056068,-669410.338655
416,627989.004683,-669385.237384
417,627991.426089,-669360.221474
418,627993.630402,-669335.23095
419,627996.246317,-669310.274808
420,627999.264366,-669285.344969
421,628002.723952,-669260.447073
422,628006.668608,-669235.592573
423,628012.751769,-669211.12652
424,628018.09691,-669186.513899
425,628023.802784,-669161.94972
426,628029.99855,-669137.468181
427,628036.794579,-669113.111843
428,628044.220376,-669088.908509
429,628054.037402,-669065.511262
430,628063.044175,-669041.8473
431,628072.749222,-669018.448156
432,628083.175037,-668995.353766
433,628094.02579,-668972.460632
434,628105.417971,-668949.836942
435,628117.460656,-668927.560656
436,628130.105233,-668905.637356
437,628143.304257,-668884.06961
438,628158.125678,-668863.525317
439,628172.371907,-668842.744906
440,628187.03589,-668822.314743
441,628202.086956,-668802.234347
442,628217.260545,-668782.323342
443,628232.72418,-668762.686654
444,628248.532346,-668743.361975
445,628264.669965,-668724.338529
446,628281.122066,-668705.605119
447,628297.873719,-668687.150076
448,628314.910006,-668668.96124
449,628332.216038,-668651.025976
450,628349.776997,-668633.331219
451,628367.524631,-668615.80964
452,628385.66782,-668598.674412
453,628403.972359,-668581.692585
454,628422.444632,-668564.867802
455,628441.145916,-668548.268434
456,628460.070525,-668531.894041
457,628479.209016,-668515.740443
458,628498.551243,-668499.802877
459,628518.087076,-668484.076804
460,628537.806367,-668468.557875
461,628557.698923,-668453.241893
462,628577.754482,-668438.124783
463,628597.962699,-668423.202568
464,628618.31314,-668408.471343
465,628638.795273,-668393.927261
466,628659.398467,-668379.566524
467,628680.112001,-668365.385371
468,628700.925066,-668351.380085
469,628721.826777,-668337.547
470,628742.80619,-668323.882515
471,628763.852316,-668310.383118
472,628784.954221,-668297.045555
473,628806.105494,-668283.874445
474,628827.306265,-668270.886191
475,628848.55934,-668258.094982
476,628869.876046,-668245.507801
477,628891.269166,-668233.1311
478,628912.751115,-668220.971583
479,628934.333936,-668209.036029
480,628956.029344,-668197.331314
481,628977.848777,-668185.864462
