index,x,y
0,621555.745355,-674853.888437
1,621566.432396,-674831.108965
2,621577.41767,-674808.487823
3,621588.737798,-674786.045033
4,621600.368511,-674763.774817
5,621612.877244,-674741.959311
6,621625.187665,-674720.088482
7,621637.728044,-674698.365193
8,621650.475581,-674676.778395
9,621663.408097,-674655.315983
10,621676.504072,-674633.964832
11,621689.744599,-674612.711976
12,621703.123922,-674591.551317
13,621716.641649,-674570.479868
14,621730.300663,-674549.496885
15,621744.113252,-674528.608307
16,621758.077827,-674507.811496
17,621772.135705,-674487.062918
18,621786.044192,-674466.178799
19,621800.579469,-674445.726618
20,621815.338107,-674425.42085
21,621830.331616,-674405.274183
22,621845.570981,-674385.300099
23,621861.066631,-674365.512839
24,621876.828409,-674345.927367
25,621892.86554,-674326.559338
26,621909.186603,-674307.425061
27,621925.7995,-674288.541466
28,621942.711432,-674269.926072
29,621959.928871,-674251.596951
30,621977.457537,-674233.572699
31,621995.299119,-674215.869008
32,622013.363679,-674198.404439
33,622031.817585,-674181.369851
34,622050.543839,-674164.656356
35,622069.529168,-674148.260348
36,622088.761692,-674132.17741
37,622108.230107,-674116.402842
38,622127.923496,-674100.931617
39,622147.831336,-674085.758388
40,622167.943489,-674070.877496
41,622188.250211,-674056.282988
42,622208.742152,-674041.968618
43,622229.602926,-674028.204019
44,622250.531669,-674014.574537
45,622271.613751,-674001.203336
46,622292.829984,-673988.064976
47,622314.118759,-673975.06318
48,622335.544584,-673962.298418
49,622357.100975,-673949.762815
50,622378.781848,-673937.448281
51,622400.581517,-673925.346522
52,622422.495828,-673913.451133
53,622444.524958,-673901.763256
54,622466.669913,-673890.285877
55,622488.931536,-673879.022098
56,622511.310509,-673867.975136
57,622533.936125,-673857.426261
58,622556.588255,-673846.914816
59,622579.355149,-673836.628069
60,622602.236993,-673826.569619
61,622625.233816,-673816.743164
62,622648.311463,-673807.065466
63,622671.474255,-673797.542968
64,622694.754152,-673788.259371
65,622718.150823,-673779.219187
66,622741.66447,-673770.429149
67,622765.296925,-673761.902038
68,622789.049775,-673753.651913
69,622812.924016,-673745.693099
70,622836.920333,-673738.040449
71,622861.037471,-673730.709939
72,622885.205675,-673723.460049
73,622909.590376,-673716.963725
74,622934.077447,-673710.832207
75,622958.653776,-673705.046631
76,622983.286442,-673699.484209
77,623008.003637,-673694.308167
78,623032.797302,-673689.524277
79,623057.659303,-673685.138212
80,623082.581428,-673681.155549
81,623107.555391,-673677.581768
82,623132.572834,-673674.42226
83,623157.640901,-673671.830535
84,623182.740727,-673669.768846
85,623207.851513,-673668.14351
86,623232.963857,-673666.95427
87,623258.068183,-673666.192028
88,623283.155665,-673665.846693
89,623308.218337,-673665.908142
90,623333.2492,-673666.258704
91,623358.246598,-673666.927786
92,623383.206506,-673667.972839
93,623408.092752,-673670.034954
94,623432.944201,-673671.966805
95,623457.742665,-673674.233243
96,623482.490302,-673676.824416
97,623507.191472,-673679.731187
98,623531.850297,-673682.944498
99,623556.470339,-673686.455246
100,623581.054636,-673690.254281
101,623605.605732,-673694.332413
102,623630.125714,-673698.680409
103,623654.616249,-673703.288995
104,623679.078614,-673708.148857
105,623703.513733,-673713.250639
106,623727.922214,-673718.584946
107,623752.304392,-673724.142308
108,623776.660421,-673729.912944
109,623800.990287,-673735.886909
110,623825.293812,-673742.054219
111,623849.570685,-673748.404866
112,623873.820487,-673754.928827
113,623898.042725,-673761.616076
114,623922.236859,-673768.456601
115,623946.402325,-673775.44041
116,623970.538568,-673782.557555
117,623994.645111,-673789.798134
118,624018.722001,-673797.152315
119,624042.771592,-673804.606544
120,624066.799211,-673812.13834
121,624090.810567,-673819.723964
122,624114.811502,-673827.339664
123,624138.807952,-673834.961651
124,624162.805885,-673842.566083
125,624186.811249,-673850.129057
126,624210.829917,-673857.626593
127,624234.867623,-673865.034636
128,624258.929905,-673872.329065
129,624283.018699,-673879.496738
130,624307.126747,-673886.554349
131,624331.245374,-673893.523554
132,624355.366142,-673900.425991
133,624379.480971,-673907.283309
134,624403.58226,-673914.117183
135,624427.663006,-673920.949344
136,624451.71693,-673927.8016
137,624475.738596,-673934.695863
138,624499.723531,-673941.654174
139,624523.668527,-673948.698044
140,624547.578622,-673955.821539
141,624571.468396,-673962.982805
142,624595.352614,-673970.137623
143,624619.245445,-673977.241756
144,624643.160334,-673984.250927
145,624667.109864,-673991.120781
146,624691.105623,-673997.806855
147,624715.158067,-674004.264531
148,624739.276391,-674010.448995
149,624763.46838,-674016.315226
150,624787.736285,-674021.841359
151,624812.073573,-674027.055862
152,624836.480864,-674031.948723
153,624860.96042,-674036.496706
154,624885.513722,-674040.676462
155,624910.141413,-674044.464549
156,624934.84324,-674047.83744
157,624959.618008,-674050.771533
158,624984.463523,-674053.243148
159,625009.376546,-674055.228526
160,625034.348376,-674056.794296
161,625059.37534,-674057.976266
162,625084.459936,-674058.620308
163,625109.592761,-674059.252237
164,625134.777994,-674058.615724
165,625159.996038,-674057.49773
166,625185.241958,-674055.914571
167,625210.50353,-674053.882535
168,625235.765943,-674051.422109
169,625261.016734,-674048.555964
170,625286.245014,-674045.306822
171,625311.441469,-674041.697273
172,625336.550084,-674037.401603
173,625361.613653,-674032.868992
174,625386.614148,-674028.020257
175,625411.545641,-674022.866738
176,625436.419685,-674017.498448
177,625461.209671,-674011.806199
178,625485.906188,-674005.781585
179,625510.499551,-673999.415962
180,625534.762159,-673991.931952
181,625559.035315,-673984.63197
182,625583.167262,-673976.971217
183,625607.147432,-673968.941071
184,625630.964998,-673960.5328
185,625654.608873,-673951.737596
186,625678.067706,-673942.5466
187,625701.094957,-673932.412582
188,625724.167289,-673922.472983
189,625747.028054,-673912.123854
190,625769.663963,-673901.3577
191,625792.064121,-673890.166725
192,625814.219894,-673878.541417
193,625836.121705,-673866.472344
194,625857.75811,-673853.951196
195,625879.116966,-673840.972308
196,625900.000864,-673827.256788
197,625920.850471,-673813.485409
198,625941.409043,-673799.278166
199,625961.675514,-673784.651073
200,625981.651674,-673769.623483
201,626001.34245,-673754.217919
202,626020.75358,-673738.456756
203,626039.891464,-673722.362076
204,626058.763124,-673705.955679
205,626077.376167,-673689.259084
206,626095.738745,-673672.293544
207,626113.859861,-673655.080357
208,626131.751143,-673637.639723
209,626149.070688,-673619.618905
210,626166.477944,-673601.711536
211,626183.703863,-673583.632222
212,626200.763592,-673565.396004
213,626217.672483,-673547.017709
214,626234.446068,-673528.511983
215,626251.100031,-673509.893318
216,626267.650181,-673491.176088
217,626284.112034,-673472.374214
218,626300.498417,-673453.49906
219,626316.820958,-673434.560926
220,626333.091232,-673415.570154
221,626349.320765,-673396.537132
222,626365.521021,-673377.4723
223,626381.703401,-673358.386152
224,626397.879232,-673339.289247
225,626414.059766,-673320.192207
226,626430.256166,-673301.105727
227,626446.479511,-673282.040579
228,626462.74078,-673263.007617
229,626479.050855,-673244.017782
230,626495.42051,-673225.082111
231,626511.860409,-673206.211739
232,626528.381101,-673187.417907
233,626544.991522,-673168.710624
234,626561.692702,-673150.092904
235,626578.483505,-673131.565692
236,626595.364714,-673113.131463
237,626612.33787,-673094.793116
238,626629.404704,-673076.553382
239,626646.567183,-673058.414784
240,626663.827308,-673040.379816
241,626681.186633,-673022.45134
242,626698.647105,-673004.6317
243,626716.211265,-672986.922655
244,626733.881585,-672969.32602
245,626751.660318,-672951.843796
246,626769.549515,-672934.478157
247,626787.551043,-672917.231428
248,626805.666603,-672900.106071
249,626823.897745,-672883.104669
250,626842.245891,-672866.229909
251,626860.712351,-672849.484567
252,626879.298342,-672832.871495
253,626898.004991,-672816.393588
254,626916.830497,-672800.050469
255,626935.766954,-672783.834635
256,626954.80581,-672767.737553
257,626973.938652,-672751.750577
258,626993.157193,-672735.864951
259,627012.453261,-672720.071821
260,627031.818783,-672704.362238
261,627051.245779,-672688.727173
262,627070.726344,-672673.157521
263,627090.252641,-672657.64411
264,627109.816889,-672642.177712
265,627129.41135,-672626.749052
266,627149.02832,-672611.348816
267,627168.660119,-672595.967665
268,627188.299078,-672580.596242
269,627207.937541,-672565.225193
270,627227.568341,-672549.845781
271,627247.185076,-672534.45025
272,627266.782086,-672519.031813
273,627286.354904,-672503.585211
274,627305.899161,-672488.105371
275,627325.410458,-672472.587248
276,627344.88437,-672457.025828
277,627364.316441,-672441.416126
278,627383.702186,-672425.753186
279,627403.037085,-672410.032086
280,627422.316589,-672394.247928
281,627441.536112,-672378.395851
282,627460.691037,-672362.47102
283,627479.776709,-672346.468634
284,627498.788442,-672330.383923
285,627517.721508,-672314.212151
286,627536.571147,-672297.948612
287,627555.332559,-672281.588638
288,627574.000805,-672265.127476
289,627592.568813,-672248.558056
290,627611.027589,-672231.871347
291,627629.370983,-672215.061727
292,627647.595885,-672198.127042
293,627665.707044,-672181.073619
294,627683.744379,-672163.944838
295,627701.659331,-672146.688698
